job_id,company_name,job_title,minimum_salary,maximum_salary,job_address,job_description,company_website,for_more_info
3832960,"Глобино, ГК",Провідний економіст у Глобине,no_info,no_info,"Глобино, ищем в Кременчуге, вулиця Володимирівська, 228.","ТМ Глобино — лідер на ринку м’ясної продукції України,запрошує в свою ...",http://www.globino.ua,https://www.work.ua/ru/jobs/3832960/
3791363,Rikky Hype,Упаковщик на склад одежды,11000,12000,"Киев, вулиця Польова, 21.",Интернет магазин одежды ищет женщину до 45 лет кладовщицу.(Склад наход...,http://rikkyhypeofficial.com/,https://www.work.ua/ru/jobs/3791363/
4679925,Аптека АНЦ,Менеджер із залучення персоналу,no_info,no_info,Киев,"Лідер аптечного ринку, мережа «Аптека АНЦ», ШАР @, Копійка, Благодія, ...",http://anc.ua/ru,https://www.work.ua/ru/jobs/4679925/
1839808,"Інго, медичний центр (Наша Родина, МЦ, ТОВ)",Лікар ультразвукової діагностики,no_info,no_info,Киев,Медичний центр запрошує до співробітництва Лікаря з ультразвукової діа...,no_info,https://www.work.ua/ru/jobs/1839808/
4695240,"Сталекс, ООО",Фрезеровщик по металлу,10000,15000,Харьков,Staleks — крупнейший украинский производитель высококачественного мани...,http://staleks.com/,https://www.work.ua/ru/jobs/4695240/
4659209,Аптека АНЦ,Рекрутер регіону (ст. м. Дорогожичі),no_info,no_info,"Киев, вулиця Олени Теліги, 4.","Привіт!Лідер ринку України — Національна мережа аптек «АНЦ», «ШАР @», ...",http://anc.ua/ru,https://www.work.ua/ru/jobs/4659209/
4542568,Brands Outlet,Касир,15000,16000,"Киев, вулиця Маршала Тимошенка, 21К1.",До дружньої команди всеукраїнської мережі магазинів «Brands Outlet»шук...,no_info,https://www.work.ua/ru/jobs/4542568/
4415556,Brands Outlet,"Продавець-мерчендайзер (ТРЦ Lavina, ст. ...",15000,16000,"Киев, вулиця Берковецька, 6Д.",До дружньої команди всеукраїнської мережі магазинів «Brands Outlet»шук...,no_info,https://www.work.ua/ru/jobs/4415556/
4417664,Brands Outlet,"Продавець-мерчендайзер (ТРЦ Respublika, ...",15000,16000,"Киев, Велика Окружна дорога, 1.",До дружньої команди всеукраїнської мережі магазинів «Brands Outlet»шук...,no_info,https://www.work.ua/ru/jobs/4417664/
3023274,Celebrity,Переводчик английского языка в брачное а...,15000,28000,"Одесса, вулиця Успенська, 39/1.",Мы крупное брачное агентство «Сеlebrity» и являемся ЛИДЕРАМИ рынка уже...,no_info,https://www.work.ua/ru/jobs/3023274/
